,path,corruption,img_id,filename,algo,clipping,timestamp,latent,epsilon,psnr_to_target,lpips_to_target
69,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18191/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,18191,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,18.447481155395508,0.1915578544139862
70,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18191/ode/non_clipped/200_0.0001_0.png,voronoi_noise,18191,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,19.039152145385742,0.16111570596694946
71,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/18191/ode/non_clipped/200_0.001_0.png,voronoi_noise,18191,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,18.327970504760742,0.1993548572063446
72,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/27052/original.png,voronoi_noise,27052,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
73,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/27052/corrupted.png,voronoi_noise,27052,corrupted.png,none,none,2024-05-22_19-58,none,,17.163476943969727,0.179841086268425
74,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/27052/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,27052,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,17.109378814697266,0.2368822544813156
75,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/27052/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,27052,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.677993774414062,0.2746243178844452
76,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/27052/ode/non_clipped/200_0.0001_0.png,voronoi_noise,27052,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,17.19182777404785,0.2315097451210022
77,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/27052/ode/non_clipped/200_0.001_0.png,voronoi_noise,27052,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,16.332956314086914,0.27258139848709106
78,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/21118/original.png,voronoi_noise,21118,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
79,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/21118/corrupted.png,voronoi_noise,21118,corrupted.png,none,none,2024-05-22_19-58,none,,16.45888328552246,0.10416136682033539
80,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/21118/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,21118,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,15.918167114257812,0.21398122608661652
81,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/21118/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,21118,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,14.953453063964844,0.28261861205101013
82,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/21118/ode/non_clipped/200_0.0001_0.png,voronoi_noise,21118,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,15.430904388427734,0.23199345171451569
83,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/21118/ode/non_clipped/200_0.001_0.png,voronoi_noise,21118,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,14.622056007385254,0.3698734939098358
84,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/17461/original.png,voronoi_noise,17461,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
85,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/17461/corrupted.png,voronoi_noise,17461,corrupted.png,none,none,2024-05-22_19-58,none,,17.11783218383789,0.18891668319702148
86,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/17461/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,17461,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,16.5694522857666,0.23646467924118042
87,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/17461/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,17461,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.55548858642578,0.22835607826709747
88,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/17461/ode/non_clipped/200_0.0001_0.png,voronoi_noise,17461,200_0.0001_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.523338317871094,0.235548734664917
89,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/17461/ode/non_clipped/200_0.001_0.png,voronoi_noise,17461,200_0.001_0.png,ode,clipped,2024-05-22_19-58,200,0.001,15.982644081115723,0.2583853304386139
90,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/4581/original.png,voronoi_noise,4581,original.png,none,none,2024-05-22_19-58,none,,inf,0.0
91,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/4581/corrupted.png,voronoi_noise,4581,corrupted.png,none,none,2024-05-22_19-58,none,,16.570398330688477,0.22137172520160675
92,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/4581/reconstruction/clipped/reconstruction_ddim.png,voronoi_noise,4581,reconstruction_ddim.png,reconstruction,clipped,2024-05-22_19-58,none,,18.00333023071289,0.21620529890060425
93,/home/bastien/scitas/bastien/results_CODE/results/ODEDIT/CELEBAHQ/fid/good_ones/2024-05-22_19-58/voronoi_noise/4581/ode/non_clipped/200_0.000316228_0.png,voronoi_noise,4581,200_0.000316228_0.png,ode,clipped,2024-05-22_19-58,200,0.0001,16.097524642944336,0.3298969268798828
